kyA: kyA/__p
sulaBa: rAw/a__n
sulagA: W/A__v
sulaga: uT/a__v
SUlagraha: None
sulaha: rAw/a__n
sulA: W/A__v
SUla: None
sulaJA: KA/__v
sulaJa: uT/a__v
sulaJAva: None
SUlAMka: None
SUlapANi: None
sulawAna: rAw/a__n
sUlI: None
SUlI: None
SUlikA: None
Sulka: rAw/a__n
SulkaSAlA: None
sumana: rAw/a__n
SumAra: rAw/a__n
SumArI: None
sumAwrA: bAlikA/__adj
SuMda: None
sumera: None
SuMga: None
sumiwrA: kAl/A__n
suMxara: rAw/a__n
suMxarawA: kAl/A__n
suMxarI: ladak/I__n
sunAI: ladak/I__n
sunA: KA/__v
sUnA: kAl/A__n
suna: uT/a__v
sunaMxA: None
sunanevAlA: None
sUnApana: None
sunAra: None
sunasAna: rAw/a__n
sunavAI: ladak/I__n
sUnI: None
sunIla: rAw/a__n
suniSciwa: rAw/a__n
suniyojiwa: None
sunna: None
sUnqwa: None
sUnqwA: None
sunxara: wIn/a__adj
SUnyagarBa: None
SUnyahaswa: None
SUnyahqxaya: None
SUnyA: None
SUnya: rAw/a__n
SUnyakarNa: None
SUnyAlaya: None
SUnyapAla: None
SUnyapaWa: None
SUnyapaxavI: None
SUnyAvasWA: None
SUnyavAxa: rAw/a__n
SUnyavAxI: None
SUnyawA: None
SUnyaxqRti: None
sUpa: rAw/a__n
sUpanaKA: None
supArI: None
supATya: None
sUPiyAnA: None
suprasixXa: rAw/a__n
suprIma: rAw/a__n
supurxa: rAw/a__n
sUPZI: ladak/I__n
surAga: rAw/a__n
surAhI: ladak/I__n
sUra: None
SUra: None
sura: rAw/a__n
sUraja: rAw/a__n
sUrajamuKI: None
sUrAKa: None
surakRA: pIdZ/A__n
surakRiwa: rAw/a__n
suramA: None
suRamA: kAl/A__n
SUramAnI: None
suraMga: rAw/a__n
SUraNa: None
sUrasAgara: None
SUrasenA: None
SUrasenapa: None
SUraSloka: None
surasurA: None
SUravIra: None
SUravixyA: None
SUrawA: None
sUrawa: rAw/a__n
sUrawaSakala: None
SUrawva: None
sUraxAsa: rAw/a__n
sureMxra: rAw/a__n
sureSa: rAw/a__n
sUrI: ajAwI/__adj
suRira: None
SuRkagarBa: None
SuRkagomaya: None
SuRka: wIn/a__adj
surKa: None
SuRkakalaha: None
SuRkawA: None
SuRkawarka: None
SuRma: None
SuRmA: None
SUrpa: None
SurUAwa: rAw/a__n
SuruAwa: rAw/a__n
suruci: None
sUryagrahaNa: None
sUrya: rAw/a__n
sUryakamala: None
sUryamaMdala: None
sUryamuKI: None
sUryanamaskAra: None
sUryanArAyaNa: None
sUryapraBa: None
sUryaRaRTI: None
sUryaraSmi: None
sUryArXya: None
sUryasnAna: None
sUryAswa: rAw/a__n
sUryavaMSI: ajAwI/__adj
sUryAwapa: None
sUryopAsaka: None
sUryopAsanA: None
sUryopasWAna: None
sUryoxaya: rAw/a__n
susajjiwa: rAw/a__n
susaMgawi: None
susaMskqwa: None
suSikRiwa: None
suSIla: rAw/a__n
suSIlA: None
suSoBiwa: rAw/a__n
SuSrURA: None
suSruwa: None
suswA: W/A__v
suswa: rAw/a__n
suswI: ladak/I__n
sUta: rAw/a__n
SUta: rAw/a__n
sUtakesa: None
suvarNa: None
suvAsa: None
suviKyAwa: None
suviXA: ASA/__n
suvyavasWiwa: rAw/a__n
sUwa: rAw/a__n
sUwaka: None
sUwakAnna: None
sUwakarma: None
sUwakASOca: None
suwalI: None
sUwapuwra: None
suWarA: kAl/A__adj
suWarI: None
sUwigqha: None
sUwI: ladak/I__n
sUwi: None
sUwikAgAra: None
sUwikAgqha: None
sUwikA: None
sUwikAla: None
sUwimAsa: None
sUwiroga: None
sUwrabaxXa: None
sUwragraMWa: None
sUwra: rAw/a__n
sUwrakAra: None
sUwrakarwA: None
sUwrakqwi: None
sUwrapAwa: rAw/a__n
sUwriwa: None
sUwrIya: wIn/a__adj
Suwuramurga: None
sUwWAna: None
suXa: None
sUxa: None
suXA: kAl/A__n
sUxaKorI: None
suxAmA: kAl/A__n
sUxana: None
suXAra: uT/a__v
suXara: uT/a__v
suXAraka: rAw/a__n
suXAravAxI: None
suxI: ladak/I__n
suXIra: rAw/a__n
SUxrABArya: None
SUxrA: None
SUxra: None
SUxrakqwya: None
SUxrANI: None
SUxrAnna: None
SUxrAvexI: None
SUxravqwwi: None
SUxrayoni: None
SUxrI: None
suxUra: rAw/a__n
SuxXAcAravAxa: None
SuxXaGI: None
SuxXa: wIn/a__adj
SuxXakarmA: None
SuxXalABa: None
SuxXASaya: None
SuxXawA: kAl/A__n
SuxXAwmA: None
SuxXawva: None
SuxXAxvEwa: None
SuxXi: None
SuxXipawra: None
suyoga: None
suyogya: None
sUzda: None
suzGA: None
sUzGa: None
svABAvika: rAw/a__n
svABimAna: rAw/a__n
svacala: None
svacAliwa: rAw/a__n
svacCa: rAw/a__n
svacCawA: kAl/A__n
svAgawa: rAw/a__n
Svagraha: None
svAhA: None
sva: None
SvajIvikA: None
SvakaMtaka: None
SvakrIdI: None
svalpa: None
svAMga: None
svAmiwva: rAw/a__n
svana: None
SvAna: None
SvAnanixrA: None
SvAnavEKarI: None
SvApaxa: None
svapna: rAw/a__n
SvapucCa: None
svara: rAw/a__n
svarga: rAw/a__n
svargIya: rAw/a__n
svarNa: rAw/a__n
svArWa: rAw/a__n
SvAsahIna: None
SvAsa: rAw/a__n
SvAsakaRta: rAw/a__n
SvAsakAsa: None
SvAsakriyA: None
SvAsakuTAra: None
Svasana: rAw/a__n
SvAsanalI: ladak/I__n
SvasanASana: None
SvAsAvaroXa: rAw/a__n
SvAsaXAraNa: None
SvAsI: None
Svasiwa: None
SvAsocCvAsa: None
SvaSura: None
SvaSurya: None
svaswi: None
svaswika: None
svAsWya: rAw/a__n
Svavqwwi: None
svAwaMwrya: rAw/a__n
svawva: None
svAxa: rAw/a__n
svAXIna: None
svAXInawA: kAl/A__n
svAxiRta: rAw/a__n
svAXyAya: None
svayaM: sarasoM/__n
svAyawwa: rAw/a__n
svecCA: kAl/A__n
svEcCika: rAw/a__n
svetara: rAw/a__n
SvewABa: None
SvewacaMxana: None
Svewa: wIn/a__adj
SvewA: None
SvewajIraka: None
Svewaka: None
SvewakAMdA: None
SvewakaMxA: None
SvewakaMxa: None
Svewakapowa: None
Svewakewu: None
SvewakuRTa: None
SvewamaXya: None
SvewAMbara: rAw/a__n
SvewAMga: None
SvewAMka: None
Svewapawra: None
svexa: None
svIkAra: rAw/a__n
svIkArAwmaka: None
svIkArya: rAw/a__n
svIkqwa: rAw/a__n
svIkqwi: SAnwi/__n
svisa: rAw/a__n
swabXa: rAw/a__n
sWagana: rAw/a__n
sWagiwa: rAw/a__n
sWAI: ladak/I__n
sWala: rAw/a__n
swaMBa: rAw/a__n
swana: rAw/a__n
sWAna: rAw/a__n
sWAnika: rAw/a__n
sWAnIya: rAw/a__n
sWApana: rAw/a__n
sWApanA: kAl/A__n
sWApawya: rAw/a__n
sWApiwa: rAw/a__n
swara: rAw/a__n
swarIya: rAw/a__n
sWAyiwva: rAw/a__n
sWira: rAw/a__n
sWirawA: kAl/A__n
sWirIkaraNa: None
sWiwa: rAw/a__n
sWiwi: Apawwi/__n
swrI: ladak/I__n
sWUla: rAw/a__n
swUpa: rAw/a__n
swuwi: None
syAha: None
syAhI: ladak/I__n
SyAmaBURaNa: None
SyAma: wIn/a__adj
SyAmA: kAl/A__n
SyAmakaMTa: None
SyAmakarNa: None
SyAmala: wIn/a__adj
SyAmalA: kAl/A__n
SyAmalawA: None
SyAmapatta: None
SyAmawA: None
SyAmiwa: None
SyEna: None
Syena: None
SyenajIvI: None
SyenakaraNa: None
SyenavyUha: None
taba: None
TagA: W/A__v
Taga: uT/a__v
TagavA: None
TagI: ladak/I__n
TahAkA: None
tahalA: W/A__v
tahala: uT/a__v
tahanI: ladak/I__n
TaharAI: None
TaharA: KA/__v
Tahara: uT/a__v
TaharAva: rAw/a__n
tAI: ladak/I__n
tAima: rAw/a__n
tAipa: rAw/a__n
tAiparAitara: rAw/a__n
tAIPayada: None
tAipista: None
tAitila: None
ta: None
Ta: None
taka: None
takA: None
takarAhata: None
takarA: KA/__v
takarAva: rAw/a__n
takasAla: None
takasAlI: None
TakaTakA: None
takatakI: ladak/I__n
Takkara: rAw/a__n
takkara: rAw/a__n
Takkura: None
TAkurabAdI: None
TAkura: rAw/a__n
TakurAnI: None
TAkurasevA: None
TakurasuhAwI: None
tAla: uT/a__v
tala: uT/a__v
tAlI: ladak/I__n
tAlU: bah/U__n
Tamaka: None
tamatama: None
tamAtara: rAw/a__n
TaMDAI: None
TaMda: Karc/a__n
TaMdA: kAl/A__n
TaMdaka: None
TaMdI: ajAwI/__adj
taMga: uT/a__v
taMkaNa: None
taMkAra: None
taMkI: ladak/I__n
taMtA: None
tana: rAw/a__n
TAna: uT/a__v
tanatana: None
tanatanA: None
tanAtana: None
tAnika: None
Tapa: wIn/a__adj
tapa: None
tApa: None
tapakA: None
tapaka: uT/a__v
tapAtapa: None
tappA: None
TappA: None
tApU: bah/U__n
tara: None
tarakA: None
taraka: None
taratarA: None
tArca: None
tarrA: None
Tasa: None
tasa: rAw/a__n
TasATAsa: None
TAta: None
tAta: None
TATa: rAw/a__n
TaTerA: None
TaTerI: None
tatola: uT/a__v
TaTolI: None
TatTA: None
tattI: None
tattU: bah/U__n
tAuna: rAw/a__n
tAVPI: None
tAyara: rAw/a__n
tazgadI: None
tAzgA: None
tAzga: None
tazkA: None
tAzkA: None
tAzka: None
tAzkI: None
tebala: rAw/a__n
tebula: None
tebulaklAWa: None
tedA: None
teDA: None
teDAmeDA: None
teDApana: None
tedI: None
teDIKIra: None
teDZI: None
teka: uT/a__v
TekA: kAl/A__adj
tekanIka: None
TekexAra: rAw/a__n
tEksa: rAw/a__n
tEksI: ladak/I__n
TelA: None
Tela: uT/a__v
telIgrAma: rAw/a__n
telIgrAPa: rAw/a__n
telIPona: rAw/a__n
telIpriMtara: None
telIskopa: rAw/a__n
telIvijana: rAw/a__n
teMdara: rAw/a__n
TeMgA: bAlikA/__adj
tEMka: rAw/a__n
tEMkawoda: None
tenisa: rAw/a__n
tepa: rAw/a__n
tera: uT/a__v
Tesa: rAw/a__n
testa: rAw/a__n
testamEca: None
TeTa: wIn/a__adj
tiddA: None
tiddI: None
tI: ladak/I__n
TIka: wIn/a__adj
tIkA: kAl/A__n
tikA: KA/__v
tIka: Karc/a__n
TIkA: None
tika: uT/a__v
tIkAkAra: None
TikAnA: kAl/A__adj
tikataGara: None
tikata: rAw/a__n
tikaTI: ladak/I__n
tikAU: bah/U__n
tikaU: None
tikAUpana: None
TIkexAra: None
tikiyA: kAl/A__n
tikulI: None
tIlA: kAl/A__adj
tIma: rAw/a__n
timatimA: None
tiMdA: None
TiMganA: None
tina: rAw/a__n
tIna: rAw/a__n
tIpa: None
tipatApa: None
tIpatApa: None
tippaNI: ladak/I__n
tIsa: None
TiTaka: uT/a__v
TiTolI: None
TiTura: uT/a__v
TodI: None
toha: uT/a__v
toka: uT/a__v
ToKA: None
tokarA: None
Tokara: rAw/a__n
tokarI: None
tokAtAkI: ladak/I__n
tolA: kAl/A__adj
tola: Karc/a__n
tolI: ladak/I__n
ToMka: uT/a__v
toMtI: None
tonA: kAl/A__adj
topa: Karc/a__n
topI: ladak/I__n
topIvAlA: None
topIxAra: None
TOra: rAw/a__n
Tosa: rAw/a__n
Tosapana: None
tosta: rAw/a__n
totakA: None
TozgA: None
toztA: None
toztI: None
trAisikala: None
traka: rAw/a__n
trAlI: ladak/I__n
trAma: None
traMka: None
trAMsaPara: rAw/a__n
trAnjistara: None
trAnsaPArmara: None
trAPI: None
trasta: rAw/a__n
trastI: ladak/I__n
tredamArka: None
tre: None
trejarI: None
trEktara: rAw/a__n
trena: rAw/a__n
treniMga: rAw/a__n
treniMgakAleja: None
TuddI: None
tukadA: kAl/A__adj
tukadI: None
TukarA: KA/__v
TukavA: None
Tumaka: uT/a__v
TumarI: None
tUranAmeMta: None
Tusa: None
TUsa: None
tUta: uT/a__v
tUtana: Karc/a__n
tutapuzjiyA: None
tUtIPUtI: None
TUzsa: None
TUzTa: None
tyUba: rAw/a__n
tyUbavela: rAw/a__n
tyUSana: None
UbadZa: None
Uba: uT/a__v
ubA: None
ubala: uT/a__v
ubAla: uT/a__v
ubara: uT/a__v
ubAra: uT/a__v
uBara: uT/a__v
uBAra: None
ubata: None
ubatana: None
uBayacara: None
uBaya: None
uBayAlaMkAra: None
uBayaniRTa: None
uBayAnvayI: None
uBayArWa: None
uBayavAxI: None
uBayAwmaka: None
uCAha: None
ucakA: None
ucaka: None
ucakkA: None
uCAla: uT/a__v
uCala: uT/a__v
ucatA: None
ucAta: None
ucata: None
ucca: wIn/a__adj
uccAkAMkRA: None
ucCAliwa: None
uccanyAyAlaya: None
uccAra: None
uccAraka: None
uccaraNa: None
uccAraNa: rAw/a__n
uccAraNIya: None
uccariwa: None
uccAriwa: None
uccArya: None
uccAryamANa: None
uccasaxana: None
uccaswarIya: rAw/a__n
uccAta: None
uccAtana: None
uccAtiwa: None
uccAvaca: None
uccawA: None
uccawAla: None
uccawama: rAw/a__n
uccawara: None
uccAyukwa: rAw/a__n
ucCexa: None
ucCexana: None
ucCinna: None
ucCiRta: None
ucCoRaNa: None
ucCqMKala: None
ucCvAsa: None
uciwa: wIn/a__adj
udA: None
udZA: KA/__v
uda: None
udAkA: None
udAkU: None
udanaCU: None
udAna: None
udanaKatolA: None
udanawaSwarI: None
udanevAlA: None
udAU: None
udaxa: None
uddayana: rAw/a__n
uddIyamAna: None
udIsA: None
udiyA: None
uduMbara: None
uGada: None
uGAda: None
ugAha: uT/a__v
ugAhI: ladak/I__n
ugA: KA/__v
uga: uT/a__v
ugala: uT/a__v
ugalavA: KA/__v
ugAlaxAna: None
ugraha: None
ugra: wIn/a__adj
ugrA: None
ugravAxa: rAw/a__n
ugravAxI: ladak/I__n
ugrawA: kAl/A__n
UhanIya: None
Uhya: None
U: None
u: None
Ujada: None
ujada: None
ujAda: None
ujadda: None
ujaddapana: None
ujAgara: rAw/a__n
ujalA: kAl/A__adj
ujAlA: bAlikA/__adj
ujAlI: None
ujarawa: None
ujAsa: None
ujelA: None
ujiyAlA: None
ujiyArI: None
ujjayanI: None
ujjayinI: None
ujjEna: rAw/a__n
ujjIvana: None
ujjIviwa: None
ujjqMBiwa: None
ujjvala: None
ujjvalA: kAl/A__n
ujjvalana: None
ujjvaliwa: None
ukaca: None
uKada: None
uKAda: None
uKadavA: None
ukadU: None
UKa: None
UKala: None
uKalI: None
UkAra: None
ukasAhata: None
ukasA: KA/__v
ukasAvA: kAl/A__adj
ukawAhata: None
ukawA: None
ukera: uT/a__v
ukwa: wIn/a__adj
ukwAnuSAsana: None
ukwi: SAnwi/__n
ulAhanA: None
ulaJA: None
ulaJa: uT/a__v
UlajalUla: None
ulaJana: rAw/a__n
ulaJAva: None
ulamA: kAl/A__n
ulaPawa: None
ulatA: W/A__v
ulata: uT/a__v
ulatApalatA: None
ulatApalatI: None
ulatAsIXA: None
ulatI: ladak/I__n
ulIca: None
ulkAcakra: None
ulkA: None
ulkAmAlI: None
ulkAmuKa: None
ulkApARANa: None
ulkAXArI: None
ullaliwa: None
ullaMGana: rAw/a__n
ullAsa: None
ullasana: None
ullAsana: None
ullAsI: None
ullasiwa: None
ullAsiwa: None
ulleKa: rAw/a__n
ulleKana: None
ulleKanIya: wIn/a__adj
ulliKiwa: wIn/a__adj
ullU: bah/U__n
ulUka: None
ulUKala: None
ulva: None
umada: None
umA: kAl/A__n
umAjanaka: None
umAkAMwa: rAw/a__n
umAkata: None
umaMga: rAw/a__n
umAnAWa: None
umara: rAw/a__n
Umara: None
umarakExa: None
umasa: rAw/a__n
umAsuwa: None
umAvana: None
umeTa: None
ummIxa: rAw/a__n
ummIxavAra: rAw/a__n
ummIxavArI: ladak/I__n
umra: rAw/a__n
umxA: bAlikA/__adj
uMgalI: ladak/I__n
unacAsa: None
unahawwara: None
Una: None
unasaTa: None
unawAlIsa: None
unawIsa: None
UnI: ajAwI/__adj
unmAWa: None
unmaWana: None
unmaWiwa: None
unmawwa: None
unmAxagraswa: None
unmaxa: None
unmAxa: None
unmAxaka: None
unmAxI: ajAwI/__adj
unmeRa: None
unmIlana: None
unmIliwa: None
unmocana: None
unmugXa: None
unmuKa: None
unmukwa: wIn/a__adj
unmukwi: None
unmUlana: rAw/a__n
unmUliwa: None
unnawa: rAw/a__n
unnawi: SAnwi/__n
unnawiSIla: None
unnAyaka: wIn/a__adj
unnayana: None
unnIsa: None
upabaMXa: rAw/a__n
upabaMXiwa: wIn/a__adj
upaBexa: rAw/a__n
upaBoga: rAw/a__n
upaBogI: None
upaBogya: None
upaBojya: None
upaBokwA: pIdZ/A__n
upaBqwa: None
upaBukwa: None
upaBukwi: None
upaBURaNa: None
upacAra: rAw/a__n
upacAraka: None
upacArI: None
upacariwa: None
upacaryA: None
upacaya: None
upagamana: None
upagAmI: None
upagawa: None
upaGAwa: None
upaGAwaka: None
upagraha: rAw/a__n
upagrahasaMXi: None
upahAra: rAw/a__n
upAhAra: None
upaharaNa: None
upahArI: None
upahAsa: None
upahAsaka: None
upahAsAspaxa: None
upahawa: None
upahiwa: None
upahqwa: None
upa: rAw/a__n
upaja: uT/a__v
upajA: W/A__v
upajAU: bah/U__n
upajAUpana: rAw/a__n
upajAwa: None
upajIvana: None
upajIvI: None
upaKaMda: rAw/a__n
upakanyA: None
upakAra: rAw/a__n
upakAraka: None
upAkaraNa: None
upakaraNa: rAw/a__n
upakArI: None
upAkarma: None
upakArya: None
upakaWA: None
upakqwa: None
upakrama: rAw/a__n
upakramaNa: None
upakramaNikA: None
upakramI: None
upakRepa: None
upakRepaNa: None
upakrIdA: None
upakulapawi: SAnwi/__n
upakUpa: None
upAKyAna: None
upAKyAnaka: None
upalabXa: wIn/a__adj
upalabXi: Apawwi/__n
upalaBya: None
upala: None
upalA: kAl/A__n
upalakRaka: None
upalakRaNa: None
upalakRiwa: None
upalakRya: wIn/a__adj
upalAlana: None
upAlaMBa: None
upalepa: None
upalepana: None
upalI: None
upalipsA: None
upalipwa: None
upamahAxvIpa: None
upamA: kAl/A__n
upamaMdala: rAw/a__n
upamaMwrI: None
upamAna: None
upamanyu: None
upamAwA: None
upameya: None
upAMga: None
upamiwa: None
upamiwi: None
upAMsu: None
upAMwa: None
upanagara: rAw/a__n
uPAna: rAw/a__n
uPana: uT/a__v
upanakRawra: None
upanAma: rAw/a__n
upanaxI: None
upanaya: None
upanAyaka: None
upanayana: None
upanewA: kAl/A__n
upaniRaxa: None
upaniRkramaNa: None
upanirvAcana: None
upaniveSa: rAw/a__n
upaniveSana: None
upaniveSI: None
upaniveSiwa: None
upaniviRta: None
upanIwa: None
upaniyama: None
upanyAsa: rAw/a__n
upanyAsasaMXi: None
upanyaswa: None
upapanna: None
upapawi: None
upapawnI: None
upapaxa: None
upapAxaka: None
upapAxana: None
upapAxiwa: None
upapAxya: None
upaplava: None
upaplavI: None
upapraSna: None
uparAga: None
uparAjyapAla: None
uparakRaNa: None
uparakwa: None
uparama: None
uparaMjana: None
uparaMXra: None
uparARtrapawi: SAnwi/__n
uparawa: None
uparawi: None
UparI: ajAwI/__adj
upArjaka: None
upArjana: None
upArjiwa: wIn/a__adj
uparokwa: wIn/a__adj
upasaBApawi: SAnwi/__n
upaSAKA: None
upAsaka: rAw/a__n
upaSama: None
upaSAmaka: wIn/a__adj
upaSamana: None
upasaMcAra: None
upasaMgawa: None
upasaMGAwa: None
upasaMgraha: None
upasaMhAra: None
upasaMharaNa: None
upasaMhArI: None
upasamiwi: None
upasaMkrAMwa: None
upasaMKyAna: None
upasaMpanna: None
upasaMpAxaka: None
upasaMXAna: None
upasaMyama: None
upAsanA: kAl/A__n
upAsana: None
upasaraNa: None
upasarga: rAw/a__n
upasarjana: None
upasarpaNa: None
upaSIrRaka: rAw/a__n
upaSiRya: None
upAsiwa: None
upaskara: None
upaskAra: None
upaskaraNa: None
upaskqwa: None
upaSlAGA: None
upaSleRa: None
upaSliRta: None
upaSoRaNa: None
upasqRta: None
upaSrowA: None
upaSruwa: None
upaSruwi: None
upasWa: None
upasWAna: None
upasWApaka: None
upasWApana: None
upasWAwA: None
upasWiwa: wIn/a__adj
upasWiwi: SAnwi/__n
upaswrI: None
upAsya: None
upavakwA: None
upavAkya: None
upavana: rAw/a__n
upavapana: None
upavarNya: None
upavarwana: None
upAvarwana: None
upavAsa: rAw/a__n
upavAsI: None
upaveRtana: None
upaveRtiwa: None
upaveSa: None
upaveSana: None
upaveSikA: None
upaveSiwa: None
upavexa: None
upaviRta: None
upavIwa: None
upavIwI: None
upaviXi: SAnwi/__n
upavixyA: None
upAvqwwa: None
upavyAGra: None
upAwwa: None
upawyakA: None
upaxAna: None
upAxAna: rAw/a__n
upaXArA: kAl/A__n
upaxeSa: rAw/a__n
upaxeSaka: rAw/a__n
upaxeSana: None
upaxeSawA: None
upAxeya: None
upAXi: Apawwi/__n
upaxiRta: None
upaxrava: rAw/a__n
upaxravI: ladak/I__n
upaxvIpa: None
upAXyakRa: rAw/a__n
upAXyAyA: None
upAXyAya: rAw/a__n
upAXyAyAnI: None
upAXyAyI: None
upAya: rAw/a__n
upayaMwra: None
upAyI: None
upayoga: rAw/a__n
upayogI: ajAwI/__adj
upayogiwA: kAl/A__n
upayogiwAvAxa: None
upayojana: None
upayukwa: wIn/a__adj
upAyukwa: rAw/a__n
upayukwawA: None
upekRA: pIdZ/A__n
upekRaNa: None
upekRaNIya: None
upekRiwa: wIn/a__adj
upekRya: None
upeMxra: rAw/a__n
upewa: None
upeya: None
upoRiwa: None
upowa: None
upoxaka: None
upoxGAwa: None
upoxvalana: None
uqNa: wIn/a__adj
uragaBUNa: None
uraga: None
uragalawA: None
uragarAja: None
uragAri: None
uragaSawru: None
uragasWAna: None
uragAxa: None
ura: None
uRA: kAl/A__n
URA: None
uRAkala: None
URAkAla: None
uRAkara: None
URAkara: None
URara: None
urasa: None
uraxa: None
urbarawA: None
uRiwa: None
Urja: None
UrjA: kAl/A__n
Urjasvala: None
urjiwa: None
Urjiwa: None
uRmA: None
URmA: None
uRma: None
URma: None
Urmi: None
UrmilA: None
uRNa: wIn/a__adj
UrNa: None
uRNaka: None
uRNawA: None
uRNawva: None
uRNoRNa: None
uRtra: None
urvara: None
urvarA: kAl/A__n
urvaraka: rAw/a__n
urvaSI: None
urvI: None
urxU: bah/U__n
UrXvagAmI: None
UrXvagawi: None
UrXva: None
UrXvakaMTa: None
UrXvakaMTI: None
UrXvakarNa: None
UrXvakeSa: None
UrXvakriyA: None
UrXvawAla: None
UrXvaxeha: None
UrXvaxeva: None
usakA: W/A__v
Usara: wIn/a__adj
usAsa: None
usAzsa: None
usUla: rAw/a__n
uswarA: None
uswAxa: rAw/a__n
uTAIgIra: None
uTA: KA/__v
uTa: uT/a__v
uTallU: None
uTAna: Karc/a__n
uTAU: None
uTavA: None
uWala: None
uwanI: ajAwI/__adj
uwapAxaka: None
uwarAI: ladak/I__n
uwarA: W/A__v
uwara: uT/a__v
uwAra: uT/a__v
uwArU: bah/U__n
uwAvalA: None
uwAvalApana: None
uwAvalI: None
uwkala: None
uwkaliwa: None
uwkaMTA: None
uwkaMTiwa: None
uwKanana: rAw/a__n
uwkarRa: rAw/a__n
uwkata: None
uwKAwa: None
uwkIrNa: wIn/a__adj
uwkoca: None
uwkqRta: wIn/a__adj
uwkramaNa: None
uwkRepa: None
uwkRepaka: None
uwkRepaNa: None
uwkRipwa: None
uwpala: None
uwpanna: wIn/a__adj
uwpAta: None
uwpAtana: None
uwpAtiwa: None
uwpaWa: None
uwpAwa: rAw/a__n
uwpAwI: None
uwpawwi: SAnwi/__n
uwpAxa: rAw/a__n
uwpAxaka: rAw/a__n
uwpAxakawA: kAl/A__n
uwpAxana: rAw/a__n
uwpAxiwa: rAw/a__n
uwpIdana: None
uwpIdiwa: None
uwplavana: None
uwprekRA: None
uwprekRaka: None
uwprekRaNa: None
uwpreraka: rAw/a__n
uwpreraNA: None
uwPulla: None
uwPullana: None
uwsAha: rAw/a__n
uwsAhana: None
uwsAhavarXaka: None
uwsAhI: ladak/I__n
uwsa: None
uwsaMga: None
uwsanna: None
uwsarga: rAw/a__n
uwsarjana: rAw/a__n
uwsarjiwa: rAw/a__n
uwsava: rAw/a__n
uwsqRta: None
uwsuka: None
uwsukawA: kAl/A__n
uwwamagaMXA: None
uwwama: wIn/a__adj
uwwamA: None
uwwamamiwra: None
uwwamapuruRa: None
uwwamaSloka: None
uwwamawA: kAl/A__n
uwwamaxarSana: None
uwWAna: rAw/a__n
uwWApaka: None
uwWApana: None
uwwarA: kAl/A__n
uwwara: rAw/a__n
uwwarakAla: None
uwwarakAMda: None
uwwarakASI: ladak/I__n
uwwarakAya: None
uwwarakoSala: None
uwwaralakRaNa: None
uwwarapakRa: None
uwwarApekRI: None
uwwarapraxeSa: rAw/a__n
uwwararAmacariwa: None
uwwarArXa: None
uwwaravAxI: None
uwwaravaya: None
uwwaraxAwA: None
uwwaraxAyI: ladak/I__n
uwwaraxAyiwva: rAw/a__n
uwwarAXikAra: None
uwwarAXikArI: ladak/I__n
uwwarAyaNa: rAw/a__n
uwwarIya: None
uwwarowwara: None
uwwejaka: None
uwwejanA: kAl/A__n
uwwejana: None
uwwejanAjanaka: None
uwwejanApUrNa: None
uwwejiwa: rAw/a__n
uwwIrNa: rAw/a__n
uwWiwa: None
uwWiwi: None
uwwolaka: None
uwwolana: None
uXada: None
uxagra: None
uxAharaNa: rAw/a__n
uxakagAha: None
uxaka: None
uxakakrIdana: None
uxakakriyA: None
UXama: None
UXamI: None
uxaMwa: None
uxaragraMWi: None
uxAra: rAw/a__n
uXAra: rAw/a__n
uxara: rAw/a__n
uxarajvAlA: None
uxArawA: None
uxAsa: None
uxAsI: ladak/I__n
uxAsIna: rAw/a__n
uxAsInawA: kAl/A__n
uxAwwa: None
uxaXikanyA: None
uxaXikumAra: None
uxaXimala: None
uxaXimeKalA: None
uxaXisaMBava: None
uxaXisuwA: None
uxayAcala: None
uxayagaDa: None
uxaya: rAw/a__n
uxayana: None
uxayanakRawra: None
uxayaprasWa: None
uxayapura: rAw/a__n
uxayAswa: None
uxayI: None
uxBAsa: None
uxBAsiwa: None
uxBata: None
uxBava: rAw/a__n
uxBAvaka: None
uxBAvana: None
uxBexana: None
uxBijja: None
uxBixa: None
uxBrAMwa: None
uxBUwa: rAw/a__n
uxbuxXa: None
uXeda: None
uxgama: rAw/a__n
uxgAra: None
uxGAtaka: None
uxGAtana: rAw/a__n
uxGAtiwa: None
uxgawa: None
uxgAwA: None
uxgawi: None
uxGoRa: None
uxGoRaNA: kAl/A__n
uxGoRiwa: None
uxIcI: None
uxIriwa: None
uxIrNa: None
uxiwa: wIn/a__adj
uxIyamAna: None
uxreka: None
uxvahana: None
uxvAhana: None
uxvApa: None
uxvAsiwa: None
uxvega: None
uxvelana: None
uxveliwa: wIn/a__adj
uxvigna: None
uxvoXaka: None
uxvoXana: None
uxxAlaka: None
uxxaMda: None
uxXamI: None
uxXAna: None
uxXAra: rAw/a__n
uxXAraka: None
uxXaraNa: rAw/a__n
uxXawa: wIn/a__adj
uxxeSa: None
uxxeSaka: None
uxxeSya: rAw/a__n
uxxIpaka: None
uxxIpana: None
uxxIpiwa: None
uxxIpwa: None
uxxIpwi: None
uxxiRta: None
uxXoga: None
uxXogapawi: None
uxXogI: None
uxXqwa: wIn/a__adj
uxxyowa: None
uxxyowiwa: None
uxyama: rAw/a__n
uxyamI: None
uxyAna: rAw/a__n
uxyAnapAlaka: None
uxyAnarakRaka: None
uxyAnavijFAna: None
uxyApana: None
